"Yakutat City and Borough, Alaska",Yakutat City and Borough, Alaska,662,249,4,255,32,1,3
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area, Alaska,"5,343","1,130",7,"3,832",8,3,28
"Apache County, Arizona",Apache County, Arizona,"66,021","14,873",185,"47,016",312,20,"1,225"
"Cochise County, Arizona",Cochise County, Arizona,"125,447","81,733","4,783","1,510","2,712",488,"12,678"
"Coconino County, Arizona",Coconino County, Arizona,"145,101","83,360","1,961","36,225","2,674",262,"7,656"
"Gila County, Arizona",Gila County, Arizona,"53,272","35,904",282,"8,928",445,48,"3,073"
"Graham County, Arizona",Graham County, Arizona,"38,533","25,043",537,"5,390",192,20,"3,225"
"Greenlee County, Arizona",Greenlee County, Arizona,"9,563","6,584",87,355,75,5,893
"La Paz County, Arizona",La Paz County, Arizona,"16,557","9,772",114,"2,833",115,49,"1,613"
"Maricopa County, Arizona",Maricopa County, Arizona,"4,420,568","2,645,512","260,469","100,645","203,696","10,966","598,605"
"Mohave County, Arizona",Mohave County, Arizona,"213,267","169,732","2,221","5,185","2,734",409,"12,676"
"Navajo County, Arizona",Navajo County, Arizona,"106,717","48,430",760,"47,442",567,86,"3,149"
"Pima County, Arizona",Pima County, Arizona,"1,043,433","633,382","39,954","34,593","31,367","2,229","127,663"
"Pinal County, Arizona",Pinal County, Arizona,"425,264","269,258","21,968","21,128","6,718","1,219","49,997"
"Santa Cruz County, Arizona",Santa Cruz County, Arizona,"47,669","15,929",187,457,304,19,"13,762"
"Yavapai County, Arizona",Yavapai County, Arizona,"236,209","192,507","1,543","4,283","2,932",294,"12,411"
"Yuma County, Arizona",Yuma County, Arizona,"203,881","90,318","4,099","3,522","2,587",283,"51,244"
"Arkansas County, Arkansas",Arkansas County, Arkansas,"17,149","11,698","4,156",44,94,9,405
"Ashley County, Arkansas",Ashley County, Arkansas,"19,062","12,958","4,669",56,41,6,625
"Baxter County, Arkansas",Baxter County, Arkansas,"41,627","38,489",90,255,234,9,327
"Benton County, Arkansas",Benton County, Arkansas,"284,333","201,188","4,732","5,093","13,721","2,629","25,559"
"Boone County, Arkansas",Boone County, Arkansas,"37,373","34,128",108,276,246,28,259
"Bradley County, Arkansas",Bradley County, Arkansas,"10,545","5,890","2,937",92,30,0,"1,156"
"Calhoun County, Arkansas",Calhoun County, Arkansas,"4,739","3,539",913,10,6,9,54
"Carroll County, Arkansas",Carroll County, Arkansas,"28,260","21,952",95,369,567,444,"2,475"
"Chicot County, Arkansas",Chicot County, Arkansas,"10,208","3,953","5,417",36,38,9,414
"Clark County, Arkansas",Clark County, Arkansas,"21,446","14,316","5,127",96,153,18,623
"Clay County, Arkansas",Clay County, Arkansas,"14,552","13,731",42,44,15,8,97
"Cleburne County, Arkansas",Cleburne County, Arkansas,"24,711","22,953",69,133,102,11,232
"Cleveland County, Arkansas",Cleveland County, Arkansas,"7,550","6,466",686,35,7,1,87
"Columbia County, Arkansas",Columbia County, Arkansas,"22,801","13,371","7,866",74,168,0,481
"Conway County, Arkansas",Conway County, Arkansas,"20,715","16,367","2,209",167,90,8,433
"Craighead County, Arkansas",Craighead County, Arkansas,"111,231","80,639","18,473",356,"1,692",61,"3,446"
"Crawford County, Arkansas",Crawford County, Arkansas,"60,133","48,610",897,"1,486",947,35,"2,342"
"Crittenden County, Arkansas",Crittenden County, Arkansas,"48,163","19,276","25,905",136,327,17,683
"Cross County, Arkansas",Cross County, Arkansas,"16,833","12,213","3,658",48,102,5,146
"Dallas County, Arkansas",Dallas County, Arkansas,"6,482","3,487","2,592",17,7,0,103
"Desha County, Arkansas",Desha County, Arkansas,"11,395","4,845","5,398",47,61,4,527
"Drew County, Arkansas",Drew County, Arkansas,"17,350","11,291","4,846",90,108,13,366
"Faulkner County, Arkansas",Faulkner County, Arkansas,"123,498","94,088","14,384",719,"1,475",73,"3,337"
"Franklin County, Arkansas",Franklin County, Arkansas,"17,097","15,367",79,214,163,10,183
"Fulton County, Arkansas",Fulton County, Arkansas,"12,075","11,249",27,66,35,0,63
"Garland County, Arkansas",Garland County, Arkansas,"100,180","78,837","8,128",802,972,71,"3,371"
"Grant County, Arkansas",Grant County, Arkansas,"17,958","16,304",458,81,77,1,178
"Greene County, Arkansas",Greene County, Arkansas,"45,736","41,038",933,163,181,292,699
"Hempstead County, Arkansas",Hempstead County, Arkansas,"20,065","11,006","5,683",140,96,5,"1,783"
"Hot Spring County, Arkansas",Hot Spring County, Arkansas,"33,040","26,525","3,472",189,114,11,659
"Howard County, Arkansas",Howard County, Arkansas,"12,785","8,164","2,642",114,63,6,"1,036"
"Independence County, Arkansas",Independence County, Arkansas,"37,938","32,108",849,243,345,33,"1,934"
"Izard County, Arkansas",Izard County, Arkansas,"13,577","12,306",256,87,27,11,123
"Jackson County, Arkansas",Jackson County, Arkansas,"16,755","12,890","2,786",47,63,4,267
"Jefferson County, Arkansas",Jefferson County, Arkansas,"67,260","25,478","37,835",240,673,94,869
"Johnson County, Arkansas",Johnson County, Arkansas,"25,749","20,088",482,274,926,36,"1,952"
"Lafayette County, Arkansas",Lafayette County, Arkansas,"6,308","3,906","2,057",36,32,5,48
"Lawrence County, Arkansas",Lawrence County, Arkansas,"16,216","15,044",143,52,39,12,175
"Lee County, Arkansas",Lee County, Arkansas,"8,600","3,465","4,663",39,13,2,121
"Lincoln County, Arkansas",Lincoln County, Arkansas,"12,941","8,324","3,652",41,23,9,384
"Little River County, Arkansas",Little River County, Arkansas,"12,026","8,714","2,178",170,23,9,171
"Logan County, Arkansas",Logan County, Arkansas,"21,131","18,826",232,241,328,8,225
"Lonoke County, Arkansas",Lonoke County, Arkansas,"74,015","61,624","4,386",368,733,50,"1,485"
"Madison County, Arkansas",Madison County, Arkansas,"16,521","14,275",41,235,102,246,473
"Marion County, Arkansas",Marion County, Arkansas,"16,826","15,569",20,138,56,5,77
"Miller County, Arkansas",Miller County, Arkansas,"42,600","28,036","10,988",281,205,4,745
"Mississippi County, Arkansas",Mississippi County, Arkansas,"40,685","23,208","14,323",99,245,8,"1,025"
"Monroe County, Arkansas",Monroe County, Arkansas,"6,799","3,568","2,760",35,28,7,144
"Montgomery County, Arkansas",Montgomery County, Arkansas,"8,484","7,577",18,103,50,5,226
"Nevada County, Arkansas",Nevada County, Arkansas,"8,310","5,218","2,444",45,45,0,175
"Newton County, Arkansas",Newton County, Arkansas,"7,225","6,689",7,71,24,2,31
"Ouachita County, Arkansas",Ouachita County, Arkansas,"22,650","12,194","8,899",71,126,3,225
"Perry County, Arkansas",Perry County, Arkansas,"10,019","9,165",107,54,12,1,113
"Phillips County, Arkansas",Phillips County, Arkansas,"16,568","5,616","10,343",44,65,4,87
"Pike County, Arkansas",Pike County, Arkansas,"10,171","8,681",241,94,16,2,509
"Poinsett County, Arkansas",Poinsett County, Arkansas,"22,965","19,391","1,783",102,61,1,461
"Polk County, Arkansas",Polk County, Arkansas,"19,221","16,428",43,366,100,9,617
"Pope County, Arkansas",Pope County, Arkansas,"63,381","51,409","2,100",609,679,23,"3,399"
"Prairie County, Arkansas",Prairie County, Arkansas,"8,282","6,964",925,23,21,3,44
"Pulaski County, Arkansas",Pulaski County, Arkansas,"399,125","199,197","143,548","2,226","10,035",225,"18,600"
"Randolph County, Arkansas",Randolph County, Arkansas,"18,571","16,684",140,87,75,596,139
"St. Francis County, Arkansas",St. Francis County, Arkansas,"23,090","9,551","12,561",65,127,8,189
"Saline County, Arkansas",Saline County, Arkansas,"123,416","98,388","10,414",833,"1,467",71,"4,268"
"Scott County, Arkansas",Scott County, Arkansas,"9,836","8,210",35,211,278,5,358
"Searcy County, Arkansas",Searcy County, Arkansas,"7,828","7,123",5,73,20,5,46
"Sebastian County, Arkansas",Sebastian County, Arkansas,"127,799","86,828","8,061","2,890","5,789",105,"10,404"
"Sevier County, Arkansas",Sevier County, Arkansas,"15,839","9,594",578,478,65,248,"3,088"
"Sharp County, Arkansas",Sharp County, Arkansas,"17,271","15,876",118,126,60,20,136
"Stone County, Arkansas",Stone County, Arkansas,"12,359","11,488",21,103,30,2,88
"Union County, Arkansas",Union County, Arkansas,"39,054","23,216","12,729",150,280,16,"1,045"
"Van Buren County, Arkansas",Van Buren County, Arkansas,"15,796","14,485",77,133,56,0,200
"Washington County, Arkansas",Washington County, Arkansas,"245,871","168,351","8,652","3,573","5,718","8,799","24,958"
"White County, Arkansas",White County, Arkansas,"76,822","65,237","3,728",368,623,31,"1,737"
"Woodruff County, Arkansas",Woodruff County, Arkansas,"6,269","4,255","1,613",8,22,0,53
"Yell County, Arkansas",Yell County, Arkansas,"20,263","15,330",251,197,202,13,"2,542"
"Alameda County, California",Alameda County, California,"1,682,353","523,836","164,879","19,659","545,261","14,123","223,779"
"Alpine County, California",Alpine County, California,"1,204",814,10,236,12,0,13
"Amador County, California",Amador County, California,"40,474","31,104","1,236",757,582,82,"2,835"
"Butte County, California",Butte County, California,"211,632","149,557","3,644","4,492","10,533",573,"18,148"
"Calaveras County, California",Calaveras County, California,"45,292","36,315",364,747,743,100,"1,995"
"Colusa County, California",Colusa County, California,"21,839","9,364",198,513,276,80,"7,149"
"Contra Costa County, California",Contra Costa County, California,"1,165,927","501,697","101,485","12,043","217,823","6,250","173,154"
"Del Norte County, California",Del Norte County, California,"27,743","17,193",855,"2,434",840,46,"2,936"
"El Dorado County, California",El Dorado County, California,"191,185","146,624","1,537","1,929","9,200",313,"9,634"
"Fresno County, California",Fresno County, California,"1,008,654","374,678","48,707","22,043","113,328","1,665","284,830"
"Glenn County, California",Glenn County, California,"28,917","15,753",177,"1,092",647,49,"7,253"
"Humboldt County, California",Humboldt County, California,"136,463","98,095","1,879","8,481","3,615",455,"7,782"
"Imperial County, California",Imperial County, California,"179,702","47,537","4,362","4,266","3,049",165,"70,528"
"Inyo County, California",Inyo County, California,"19,016","11,752",97,"2,473",282,17,"2,267"
"Kern County, California",Kern County, California,"909,235","371,734","50,130","18,163","46,777","1,508","274,153"
"Kings County, California",Kings County, California,"152,486","61,226","9,023","3,671","5,923",412,"48,001"
"Lake County, California",Lake County, California,"68,163","46,858","1,199","2,356","1,004",106,"7,699"
"Lassen County, California",Lassen County, California,"32,730","21,066","2,277","1,088",494,285,"4,930"
"Los Angeles County, California",Los Angeles County, California,"10,014,009","3,259,427","794,364","163,464","1,499,984","24,522","2,784,180"
"Madera County, California",Madera County, California,"156,255","65,248","4,596","7,674","3,907",173,"49,303"
"Marin County, California",Marin County, California,"262,321","179,377","6,339","3,996","16,431",493,"26,000"
"Mariposa County, California",Mariposa County, California,"17,131","13,385",108,497,298,15,796
"Mendocino County, California",Mendocino County, California,"91,601","59,510",642,"4,679","1,788",138,"12,777"
"Merced County, California",Merced County, California,"281,202","104,534","9,158","7,518","20,715",807,"89,115"
"Modoc County, California",Modoc County, California,"8,700","6,772",67,446,61,13,602
"Mono County, California",Mono County, California,"13,195","9,349",74,295,163,31,"1,699"
"Monterey County, California",Monterey County, California,"439,035","158,879","9,943","12,781","26,680","2,132","150,161"
"Napa County, California",Napa County, California,"138,019","76,158","2,443","1,949","10,753",348,"25,631"
"Nevada County, California",Nevada County, California,"102,241","85,604",460,"1,012","1,427",147,"3,494"
"Orange County, California",Orange County, California,"3,186,989","1,383,257","53,842","38,322","706,813","9,035","548,539"
"Placer County, California",Placer County, California,"404,739","288,586","6,890","3,547","35,500","1,117","20,224"
"Plumas County, California",Plumas County, California,"19,790","16,608",103,453,152,44,600
"Riverside County, California",Riverside County, California,"2,418,185","995,627","156,477","43,808","171,243","8,116","637,243"
"Sacramento County, California",Sacramento County, California,"1,585,055","715,722","152,795","18,637","281,733","18,914","185,585"
"San Benito County, California",San Benito County, California,"64,209","27,230",634,"1,647","2,423",176,"20,629"
"San Bernardino County, California",San Bernardino County, California,"2,181,654","782,691","184,558","41,663","182,287","7,461","621,140"
"San Diego County, California",San Diego County, California,"3,298,634","1,633,129","155,813","40,968","410,752","15,286","520,994"
"San Francisco County, California",San Francisco County, California,"873,965","361,382","46,725","6,475","296,505","3,476","73,169"
"San Joaquin County, California",San Joaquin County, California,"779,233","267,339","60,351","12,107","139,323","5,567","181,741"
"San Luis Obispo County, California",San Luis Obispo County, California,"282,424","198,338","4,610","3,159","10,402",413,"27,444"
"San Mateo County, California",San Mateo County, California,"764,442","300,188","15,707","6,812","230,242","9,302","107,924"
"Santa Barbara County, California",Santa Barbara County, California,"448,229","224,748","7,374","9,633","26,549",703,"99,502"
